mu,tau,k,mechanism,strength,outcome,headline,raw_cov,deployable_cov_ok,n_valid_comp,n_win,n_tie,n_loss,loses_to,dominates_field
0.0,0.1,5,copas,strong,continuous,adaptshrink_auto,1.0,True,13,8,5,0,-,True
0.0,0.1,5,none,strong,continuous,adaptshrink_auto,0.975,True,13,0,13,0,-,True
0.0,0.1,5,step,strong,continuous,adaptshrink_auto,0.925,True,13,3,10,0,-,True
0.0,0.1,40,copas,strong,continuous,adaptshrink_auto,0.975,True,15,6,9,0,-,True
0.0,0.1,40,none,strong,continuous,adaptshrink_auto,0.975,True,15,4,11,0,-,True
0.0,0.1,40,step,strong,continuous,adaptshrink_auto,0.95,True,15,12,3,0,-,True
0.0,0.3,5,copas,strong,continuous,adaptshrink_auto,0.925,True,14,5,9,0,-,True
0.0,0.3,5,none,strong,continuous,adaptshrink_auto,0.975,True,14,3,11,0,-,True
0.0,0.3,5,step,strong,continuous,adaptshrink_auto,0.75,False,15,3,12,0,-,False
0.0,0.3,40,copas,strong,continuous,adaptshrink_auto,0.8,False,14,6,8,0,-,False
0.0,0.3,40,none,strong,continuous,adaptshrink_auto,0.975,True,14,9,5,0,-,True
0.0,0.3,40,step,strong,continuous,adaptshrink_auto,0.325,False,15,1,14,0,-,False
0.0,0.5,5,copas,strong,continuous,adaptshrink_auto,0.925,True,14,4,10,0,-,True
0.0,0.5,5,none,strong,continuous,adaptshrink_auto,0.95,True,14,9,5,0,-,True
0.0,0.5,5,step,strong,continuous,adaptshrink_auto,0.7,False,15,2,13,0,-,False
0.0,0.5,40,copas,strong,continuous,adaptshrink_auto,0.625,False,14,7,7,0,-,False
0.0,0.5,40,none,strong,continuous,adaptshrink_auto,0.925,True,14,9,5,0,-,True
0.0,0.5,40,step,strong,continuous,adaptshrink_auto,0.275,False,15,0,12,3,"adaptshrink_fast,trim_and_fill,vevea_hedges",False
0.2,0.1,5,copas,strong,continuous,adaptshrink_auto,0.975,True,14,5,9,0,-,True
0.2,0.1,5,none,strong,continuous,adaptshrink_auto,1.0,True,13,3,10,0,-,True
0.2,0.1,5,step,strong,continuous,adaptshrink_auto,0.95,True,14,2,12,0,-,True
0.2,0.1,40,copas,strong,continuous,adaptshrink_auto,1.0,True,15,12,3,0,-,True
0.2,0.1,40,none,strong,continuous,adaptshrink_auto,1.0,True,15,6,9,0,-,True
0.2,0.1,40,step,strong,continuous,adaptshrink_auto,0.975,True,15,7,8,0,-,True
0.2,0.3,5,copas,strong,continuous,adaptshrink_auto,0.925,True,14,5,9,0,-,True
0.2,0.3,5,none,strong,continuous,adaptshrink_auto,0.975,True,14,8,6,0,-,True
0.2,0.3,5,step,strong,continuous,adaptshrink_auto,0.925,True,14,3,11,0,-,True
0.2,0.3,40,copas,strong,continuous,adaptshrink_auto,0.625,False,14,9,5,0,-,False
0.2,0.3,40,none,strong,continuous,adaptshrink_auto,0.9,True,14,4,10,0,-,True
0.2,0.3,40,step,strong,continuous,adaptshrink_auto,0.525,False,15,2,10,3,"adaptshrink_fast,p_uniform_star,vevea_hedges",False
0.2,0.5,5,copas,strong,continuous,adaptshrink_auto,0.925,True,15,6,9,0,-,True
0.2,0.5,5,none,strong,continuous,adaptshrink_auto,0.85,False,14,6,5,3,"copas,dl_hksj,reml_hksj",False
0.2,0.5,5,step,strong,continuous,adaptshrink_auto,0.725,False,14,3,11,0,-,False
0.2,0.5,40,copas,strong,continuous,adaptshrink_auto,0.675,False,15,9,6,0,-,False
0.2,0.5,40,none,strong,continuous,adaptshrink_auto,0.9,True,14,4,10,0,-,True
0.2,0.5,40,step,strong,continuous,adaptshrink_auto,0.2,False,15,2,11,2,"trim_and_fill,vevea_hedges",False
0.5,0.1,5,copas,strong,continuous,adaptshrink_auto,1.0,True,15,1,14,0,-,True
0.5,0.1,5,none,strong,continuous,adaptshrink_auto,0.975,True,15,1,14,0,-,True
0.5,0.1,5,step,strong,continuous,adaptshrink_auto,0.95,True,14,2,12,0,-,True
0.5,0.1,40,copas,strong,continuous,adaptshrink_auto,1.0,True,15,2,13,0,-,True
0.5,0.1,40,none,strong,continuous,adaptshrink_auto,1.0,True,15,1,14,0,-,True
0.5,0.1,40,step,strong,continuous,adaptshrink_auto,1.0,True,15,12,3,0,-,True
0.5,0.3,5,copas,strong,continuous,adaptshrink_auto,0.95,True,14,1,13,0,-,True
0.5,0.3,5,none,strong,continuous,adaptshrink_auto,0.975,True,15,6,9,0,-,True
0.5,0.3,5,step,strong,continuous,adaptshrink_auto,0.875,False,14,2,12,0,-,False
0.5,0.3,40,copas,strong,continuous,adaptshrink_auto,0.675,False,15,3,12,0,-,False
0.5,0.3,40,none,strong,continuous,adaptshrink_auto,0.9,True,15,6,9,0,-,True
0.5,0.3,40,step,strong,continuous,adaptshrink_auto,0.425,False,15,2,13,0,-,False
0.5,0.5,5,copas,strong,continuous,adaptshrink_auto,0.9,True,14,4,10,0,-,True
0.5,0.5,5,none,strong,continuous,adaptshrink_auto,0.875,False,15,2,13,0,-,False
0.5,0.5,5,step,strong,continuous,adaptshrink_auto,0.9,True,14,2,12,0,-,True
0.5,0.5,40,copas,strong,continuous,adaptshrink_auto,0.7,False,15,7,8,0,-,False
0.5,0.5,40,none,strong,continuous,adaptshrink_auto,0.925,True,15,5,10,0,-,True
0.5,0.5,40,step,strong,continuous,adaptshrink_auto,0.5,False,15,1,14,0,-,False
