mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
smooth,strong,0,reml_hksj,0.2,0.3248568219751436,0.2669299461657312,0.3827836977845559,True
smooth,strong,0,trim_and_fill,0.2,0.2186526771720908,0.183619614583659,0.2536857397605225,True
smooth,strong,0,pet_peese,0.2,0.2680942199708288,0.1972757742576598,0.3389126656839977,True
smooth,strong,0,copas,0.2,0.32356751766935,0.2743190914184035,0.3728159439202965,True
smooth,strong,0,ubcma,0.2,0.3027654708955293,0.2008555321780227,0.4024399297398797,True
smooth,strong,0,henmi_copas,0.2,0.3209203607764304,0.2639186881712366,0.3779220333816242,True
smooth,strong,0,adaptshrink_ens,0.2,0.2616990800032668,0.1045569156176286,0.4188412443889051,True
smooth,strong,0,adaptshrink_solo,0.2,0.2398976451446224,0.0427930626358759,0.437002227653369,True
smooth,strong,1,reml_hksj,0.2,0.3289288661179902,0.2371488156172672,0.4207089166187132,True
smooth,strong,1,trim_and_fill,0.2,0.152726700392297,0.1187985182323964,0.1866548825521977,True
smooth,strong,1,pet_peese,0.2,0.2362417204023481,0.179418857812997,0.2930645829916993,True
smooth,strong,1,copas,0.2,0.3274106870505184,0.2466869286951172,0.4081344454059196,True
smooth,strong,1,ubcma,0.2,0.3066013237933895,0.2047699106877971,0.4009719786511833,True
smooth,strong,1,henmi_copas,0.2,0.2880864418869929,0.1878976676471576,0.3882752161268281,True
smooth,strong,1,adaptshrink_ens,0.2,0.2348432255694337,0.0579932457947265,0.4116932053441409,True
smooth,strong,1,adaptshrink_solo,0.2,0.2072911248541309,-0.0296042923887585,0.4441865420970204,True
smooth,strong,2,reml_hksj,0.2,0.253374288618472,0.1786834505843961,0.3280651266525479,True
smooth,strong,2,trim_and_fill,0.2,0.1146605882359913,0.0755932199879826,0.153727956484,True
smooth,strong,2,pet_peese,0.2,0.2632620874364962,0.1835366790387401,0.3429874958342523,True
smooth,strong,2,copas,0.2,0.2534325806037031,0.1865075344033637,0.3203576268040424,True
smooth,strong,2,ubcma,0.2,0.1647442734097239,0.0774167900653489,0.2480368235302664,True
smooth,strong,2,henmi_copas,0.2,0.2521569686527268,0.1773345108587391,0.3269794264467146,True
smooth,strong,2,adaptshrink_ens,0.2,0.1558231483656932,-0.0526345621033706,0.3642808588347571,True
smooth,strong,2,adaptshrink_solo,0.2,0.253410291394357,0.1758069947397986,0.3310135880489154,True
smooth,strong,3,reml_hksj,0.2,0.3447513499330999,0.2806374184747389,0.4088652813914609,True
smooth,strong,3,trim_and_fill,0.2,0.1958471568167067,0.1675194006756983,0.2241749129577151,True
smooth,strong,3,pet_peese,0.2,0.2782974536855855,0.2309091855766624,0.3256857217945086,True
smooth,strong,3,copas,0.2,0.343575876772925,0.2844385651951427,0.4027131883507074,True
smooth,strong,3,ubcma,0.2,0.2359943653170962,0.0988255597285551,0.3752339831987365,True
smooth,strong,3,henmi_copas,0.2,0.321887478842815,0.2472809065605122,0.3964940511251178,True
smooth,strong,3,adaptshrink_ens,0.2,0.2323819609235661,0.0573975923668829,0.4073663294802493,True
smooth,strong,3,adaptshrink_solo,0.2,0.2510859198655992,0.0105823070642366,0.4915895326669618,True
smooth,strong,4,reml_hksj,0.2,0.3387336275400317,0.2536906363357844,0.423776618744279,True
smooth,strong,4,trim_and_fill,0.2,0.2313530994209645,0.1957451783176756,0.2669610205242534,True
smooth,strong,4,pet_peese,0.2,0.3177794036171944,0.2580974471836943,0.3774613600506945,True
smooth,strong,4,copas,0.2,0.3380384184726873,0.2723064919998818,0.4037703449454929,True
smooth,strong,4,ubcma,0.2,0.2728820854953416,0.1794972555243716,0.3742122761077049,False
smooth,strong,4,henmi_copas,0.2,0.3340074857283523,0.2462496621035797,0.4217653093531249,True
smooth,strong,4,adaptshrink_ens,0.2,0.269396898362156,-0.3161590971782713,0.8549528939025834,True
smooth,strong,4,adaptshrink_solo,0.2,0.3389401367042974,0.2747501905620698,0.4031300828465249,True
smooth,strong,5,reml_hksj,0.2,0.3169000607297482,0.2463580008859635,0.3874421205735328,True
smooth,strong,5,trim_and_fill,0.2,0.1690268826922547,0.134870333681559,0.2031834317029504,True
smooth,strong,5,pet_peese,0.2,0.2145532149240716,0.1564689119739071,0.272637517874236,True
smooth,strong,5,copas,0.2,0.3146853762342841,0.2513539433945359,0.3780168090740324,True
smooth,strong,5,ubcma,0.2,0.2208888280872057,0.1168552950029396,0.3294003610582656,True
smooth,strong,5,henmi_copas,0.2,0.2884525462185656,0.2078424559746402,0.3690626364624909,True
smooth,strong,5,adaptshrink_ens,0.2,0.2055652272620818,0.0830469516105563,0.3280835029136073,True
smooth,strong,5,adaptshrink_solo,0.2,0.1440143187997727,-0.017857942306365,0.3058865799059105,True
smooth,strong,6,reml_hksj,0.2,0.395508362283253,0.3042009104325903,0.4868158141339156,True
smooth,strong,6,trim_and_fill,0.2,0.2454208072000157,0.211213817887079,0.2796277965129524,True
smooth,strong,6,pet_peese,0.2,0.4373167060664542,0.3708217560450141,0.5038116560878942,True
smooth,strong,6,copas,0.2,0.3959095023814704,0.3147545248218449,0.4770644799410958,True
smooth,strong,6,ubcma,0.2,0.3155253609901918,0.1319299591462635,0.483009611117087,True
smooth,strong,6,henmi_copas,0.2,0.4119393882707786,0.3122958672022355,0.5115829093393216,True
smooth,strong,6,adaptshrink_ens,0.2,0.3001821238347426,-0.024031248918718,0.6243954965882033,True
smooth,strong,6,adaptshrink_solo,0.2,0.3960922133643593,0.2787825063656477,0.5134019203630709,True
smooth,strong,7,reml_hksj,0.2,0.3275144567021558,0.2825731791342066,0.3724557342701051,True
smooth,strong,7,trim_and_fill,0.2,0.2335316064623711,0.202251681030577,0.2648115318941652,True
smooth,strong,7,pet_peese,0.2,0.3100116357084478,0.254335425294998,0.3656878461218976,True
smooth,strong,7,copas,0.2,0.3268009213294916,0.2855346419432944,0.3680672007156888,True
smooth,strong,7,ubcma,0.2,0.2826359564728307,0.2246792555757696,0.3428543822829477,True
smooth,strong,7,henmi_copas,0.2,0.3268008959074698,0.2882043232458648,0.3653974685690748,True
smooth,strong,7,adaptshrink_ens,0.2,0.2822441903066373,0.1474252933045906,0.417063087308684,True
smooth,strong,7,adaptshrink_solo,0.2,0.3268008959074698,0.2530706599287038,0.4005311318862357,True
smooth,strong,8,reml_hksj,0.2,0.2869390688620297,0.2159698442769129,0.3579082934471466,True
smooth,strong,8,trim_and_fill,0.2,0.1526013372937328,0.1221106284066712,0.1830920461807944,True
smooth,strong,8,pet_peese,0.2,0.2288149890229507,0.1714959884717203,0.2861339895741811,True
smooth,strong,8,copas,0.2,0.2855677927064779,0.2231312031081288,0.348004382304827,True
smooth,strong,8,ubcma,0.2,0.2410360742318593,0.1491355100784891,0.3252424022236695,True
smooth,strong,8,henmi_copas,0.2,0.2764084080903242,0.1989014376528774,0.353915378527771,True
smooth,strong,8,adaptshrink_ens,0.2,0.2249402148169446,0.0851388599810361,0.3647415696528531,True
smooth,strong,8,adaptshrink_solo,0.2,0.2351633360923708,-0.1657674080108962,0.636094080195638,True
smooth,strong,9,reml_hksj,0.2,0.3344486769270274,0.2542023218384627,0.414695032015592,True
smooth,strong,9,trim_and_fill,0.2,0.1922279626245069,0.157896927271894,0.2265589979771199,True
smooth,strong,9,pet_peese,0.2,0.2908185586112439,0.2261681091793706,0.3554690080431172,True
smooth,strong,9,copas,0.2,0.3329542983322313,0.2680117190865137,0.3978968775779489,True
smooth,strong,9,ubcma,0.2,0.2958569758067862,0.1765008532940046,0.4195563582010684,True
smooth,strong,9,henmi_copas,0.2,0.3228235886364827,0.2401821307769866,0.4054650464959788,True
smooth,strong,9,adaptshrink_ens,0.2,0.2841393919333534,0.120741827437641,0.4475369564290659,True
smooth,strong,9,adaptshrink_solo,0.2,0.3342200408317635,0.1834854628115152,0.4849546188520118,True
smooth,strong,10,reml_hksj,0.2,0.2504037086128889,0.1787485134574798,0.3220589037682979,True
smooth,strong,10,trim_and_fill,0.2,0.0660260680088798,0.0297922817416773,0.1022598542760823,True
smooth,strong,10,pet_peese,0.2,0.080552589244763,-0.0536174507817135,0.2147226292712395,True
smooth,strong,10,copas,0.2,0.2491623433392644,0.1840040300607143,0.3143206566178145,True
smooth,strong,10,ubcma,0.2,0.141180587463309,0.059313179782259,0.2149048782169366,True
smooth,strong,10,henmi_copas,0.2,0.2328698526342179,0.1566967734824516,0.3090429317859842,True
smooth,strong,10,adaptshrink_ens,0.2,0.0738945393602421,-0.0422104569796447,0.1899995357001291,True
smooth,strong,10,adaptshrink_solo,0.2,0.1271253149257494,-0.1718556494023939,0.4261062792538927,True
smooth,strong,11,reml_hksj,0.2,0.3335673978708661,0.2740310347463347,0.3931037609953974,True
smooth,strong,11,trim_and_fill,0.2,0.2095719980582817,0.1775682421439361,0.2415757539726273,True
smooth,strong,11,pet_peese,0.2,0.3288223635044698,0.2697139747342325,0.3879307522747071,True
smooth,strong,11,copas,0.2,0.3334402238095593,0.2801817947870786,0.38669865283204,True
smooth,strong,11,ubcma,0.2,0.2882837323537986,0.20409172881279,0.3839410659963373,True
smooth,strong,11,henmi_copas,0.2,0.3325420905127876,0.2717088944261456,0.3933752865994295,True
smooth,strong,11,adaptshrink_ens,0.2,0.2919050094976472,0.092365412337657,0.4914446066576373,True
smooth,strong,11,adaptshrink_solo,0.2,0.3335281632454296,0.2670808501950422,0.399975476295817,True
smooth,strong,12,reml_hksj,0.2,0.2886167344361443,0.2103272527025851,0.3669062161697035,True
smooth,strong,12,trim_and_fill,0.2,0.0339494536545193,0.0019258103861816,0.0659730969228571,True
smooth,strong,12,pet_peese,0.2,0.0196785707604282,-0.0828284178434687,0.1221855593643251,True
smooth,strong,12,copas,0.2,0.2874515714756468,0.2146722806107932,0.3602308623405004,True
smooth,strong,12,ubcma,0.2,0.1828514140525354,0.0944883964103411,0.276996878657,True
smooth,strong,12,henmi_copas,0.2,0.2371039775137049,0.1388608940708248,0.335347060956585,True
smooth,strong,12,adaptshrink_ens,0.2,0.0342552280655364,-0.0596297420510652,0.1281401981821381,True
smooth,strong,12,adaptshrink_solo,0.2,0.0506632507244701,-0.2663144824051966,0.3676409838541369,True
smooth,strong,13,reml_hksj,0.2,0.2962657112621872,0.2479605691277436,0.3445708533966307,True
smooth,strong,13,trim_and_fill,0.2,0.1737281575047127,0.1465632001571977,0.2008931148522276,True
smooth,strong,13,pet_peese,0.2,0.2738763486057088,0.2271133365739297,0.320639360637488,True
smooth,strong,13,copas,0.2,0.2958034896571615,0.2542608582497342,0.3373461210645888,True
smooth,strong,13,ubcma,0.2,0.2872086988435128,0.2305987134851789,0.3505463759723445,True
smooth,strong,13,henmi_copas,0.2,0.2942110826693849,0.243655686450197,0.3447664788885728,True
smooth,strong,13,adaptshrink_ens,0.2,0.2746646899065054,0.1571732734820083,0.3921561063310026,True
smooth,strong,13,adaptshrink_solo,0.2,0.2971692254646984,0.2051342213563378,0.389204229573059,True
smooth,strong,14,reml_hksj,0.2,0.2941532036178921,0.243473553061739,0.3448328541740452,True
smooth,strong,14,trim_and_fill,0.2,0.2069394982284727,0.1739561617646773,0.2399228346922682,True
smooth,strong,14,pet_peese,0.2,0.2517920371667412,0.1969521739583262,0.3066319003751562,True
smooth,strong,14,copas,0.2,0.2935164645698866,0.2486432575787533,0.3383896715610199,True
smooth,strong,14,ubcma,0.2,0.2887184508675529,0.2375994089235252,0.3539558316496913,True
smooth,strong,14,henmi_copas,0.2,0.2929833103844831,0.2497538308146718,0.3362127899542945,True
smooth,strong,14,adaptshrink_ens,0.2,0.2503590415807232,0.1137080320957306,0.3870100510657158,True
smooth,strong,14,adaptshrink_solo,0.2,0.2190491080916223,0.0508428961864345,0.3872553199968102,True
smooth,strong,15,reml_hksj,0.2,0.331413437040263,0.2653326845392519,0.397494189541274,True
smooth,strong,15,trim_and_fill,0.2,0.1607298977473173,0.1336387357763621,0.1878210597182726,True
smooth,strong,15,pet_peese,0.2,0.3574325567704106,0.3093344519126237,0.4055306616281975,True
smooth,strong,15,copas,0.2,0.3315900673760638,0.2700478077918309,0.3931323269602966,True
smooth,strong,15,ubcma,0.2,0.298064028321137,0.1791883263023544,0.4083430694029681,True
smooth,strong,15,henmi_copas,0.2,0.3429446450000173,0.2650216721159121,0.4208676178841225,True
smooth,strong,15,adaptshrink_ens,0.2,0.3102825849059313,0.0401411626294651,0.5804240071823974,True
smooth,strong,15,adaptshrink_solo,0.2,0.3311629496940453,0.2051210562248908,0.4572048431631999,True
smooth,strong,16,reml_hksj,0.2,0.3532276679121631,0.2898538391127722,0.4166014967115539,True
smooth,strong,16,trim_and_fill,0.2,0.2289836505686278,0.1971274043029769,0.2608398968342788,True
smooth,strong,16,pet_peese,0.2,0.3255714793030358,0.2713253286151931,0.3798176299908786,True
smooth,strong,16,copas,0.2,0.3528147949461491,0.2954967980777304,0.4101327918145678,True
smooth,strong,16,ubcma,0.2,0.3536014692969196,0.2430433819243605,0.4836742914665656,True
smooth,strong,16,henmi_copas,0.2,0.3493791287165618,0.2784543253741309,0.4203039320589928,True
smooth,strong,16,adaptshrink_ens,0.2,0.3231697074102441,0.1705433552067862,0.4757960596137019,True
smooth,strong,16,adaptshrink_solo,0.2,0.353312789804954,0.1992350594761455,0.5073905201337626,True
smooth,strong,17,reml_hksj,0.2,0.2762448906300974,0.2145064616283256,0.3379833196318692,True
smooth,strong,17,trim_and_fill,0.2,0.1335722277519776,0.103372989160418,0.1637714663435373,True
smooth,strong,17,pet_peese,0.2,0.2432151052091384,0.186856851939905,0.2995733584783719,True
smooth,strong,17,copas,0.2,0.2756056048643286,0.2194789643299103,0.3317322453987469,True
smooth,strong,17,ubcma,0.2,0.2290403777575813,0.1554433824397458,0.3089051145263036,True
smooth,strong,17,henmi_copas,0.2,0.2714268529195023,0.2050546377004994,0.3377990681385052,True
smooth,strong,17,adaptshrink_ens,0.2,0.2311086819735756,0.0851805874854961,0.3770367764616552,True
